Designation,Process,Graduation_Cleaned,Post Graduation_cleaned,Diploma_cleaned,Others_cleaned,Raw Master Category_cleaned,Notice period served,Voluntary / Forced,Gender,Rating,Band,Company,Business,Last Shifts for person,Deparment
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Trainee,Human Resources,No details,No details,no details,no details,On contract,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Support,3:00 PM - 12:00 AM,Support
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Lead,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,1,V,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Sc,No details,no details,no details,Performance & Discipline,0,F,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Returned mail,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Lead,Medical Transcription,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Junior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Better opportunity,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,1,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.Com,No details,no details,no details,No data available,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,No work,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,No work,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.A.,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Assistant Manager,Patient Financial Services,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Team Coach,Medical Transcription,B.A.,No details,no details,no details,Terminated,0,V,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,B.A.,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,FCC,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Milwaukee - Cash posting,B.B.A.,M.C.A.,no details,no details,Abanonded,1,V,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Returned mail,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-2,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Leader,Medical Transcription,No details,No details,no details,no details,Personal ,0,Data to be derived/skimmed,F,Rating not available,P1,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Offer Drop,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Junior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-2,Medical Transcription,B.A.,No details,no details,no details,Terminated,0,V,F,B-,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,F,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Senior Medical Transcriptionist,Medical Transcription,No details,No details,no details,no details,No work,0,Data to be derived/skimmed,M,Rating not available,A3,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Performance & Discipline,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
MT/QA-1,Medical Transcription,No details,No details,no details,no details,Abanonded,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
Analyst,Patient Financial Services,B.E.,No details,no details,no details,Movement to AHSPL,0,Data to be derived/skimmed,M,Rating not available,A2,R1 RCM India,Operations,3:00 PM - 12:00 AM,Operations
